#name in ACCEPT,name in Fraser-McKelvie et al.,BCG Stellar Mass (10^10 M_sun),BCG SFR (M_sun/yr)
1E0657 56,,,
MKW 08,,,
MS 0015.9+1609,,,
MS 0116.3-0115,,,
MS 0440.5+0204,,,
MS 0451.6-0305,,,
MS 0735.6+7421,,,
MS 0839.8+2938,,,
MS 0906.5+1110,,,
MS 1006.0+1202,,,
MS 1008.1-1224,,,
MS 1455.0+2232,,,
MS 2137.3-2353,,,
MS J1157.3+5531,,,
NGC 0507,,,
NGC 4636,,,
NGC 5044,,,
NGC 5813,,,
NGC 5846,,,
Ophiuchus,Ophiuchus,153.4,0.31
PKS 0745-191,,,
RBS 0461,,,
RBS 0533,,,
RBS 0797,,,
RCS J2327-0204,,,
RXCJ0331.1-2100,,,
RXC J1023.8-2715,,,
RX J0220.9-3829,,,
RX J0232.2-4420,,,
RX J0439+0520,,,
RX J0439.0+0715,,,
RX J0528.9-3927,,,
RX J0647.7+7015,,,
RX J0819.6+6336,,,
RX J1000.4+4409,,,
RX J1022.1+3830,,,
RX J1130.0+3637,,,
RX J1320.2+3308,,,
RX J1347.5-1145,,,
RX J1423.8+2404,,,
RX J1504.1-0248,,,
RX J1532.9+3021,,,
RX J1539.5-8335,RXCJ1539.5-8335,46.4,2.08
RX J1720.1+2638,,,
RX J1720.2+3536,,,
RX J1852.1+5711,,,
RX J2129.6+0005,,,
SC 1327-312,SC1327-312,12.6,0.08
Sersic 159-03,Abell S1101,27.4,0.29
SS2B153,,,
UGC 03957,,,
UGC 12491,,,
ZWCL 1215,ZWCL1215.1+0400,31.1,0.42
ZWCL 1358+6245,,,
ZWCL 1742,ZWCL1742.1+3306,24.5,0.71
ZWCL 1953,,,
ZWCL 3146,,,
ZWICKY 2701,,,
ZwCl 0857.9+2107,,,
